ID	Name	Desc
27	身残志坚	[NAME]天生智力比较低下，5岁才会说话，10岁才会走路，可以说十分励志。但是[ITS]父母却依然对[IT]充满耐心。\n[NAME]虽然很笨，但是他对所有的事情都充满了兴趣，[IT]愿意付出比别人很多倍的努力来学习如何生活。
28	小乞儿	[NAME]从小被遗弃，被一帮乞丐捡到养大。从[IT]懂事以来，[IT]就跟随着大家以乞讨为生。\n乞讨生活让[IT]见识了人世的冷漠，也让[IT]特别善于揣摩人心。
29	贝壳收集者	[NAME]在海边的贫穷渔村长大，[ITS]童年缺乏娱乐，唯一的爱好就是收集在海边的贝壳。
30	儿童间谍	[NAME]长相秀丽可爱，被朝廷选中成为政治间谍，投放到敌国首都刺探情报。\n在培训中，[IT]着重学习了隐藏自己的手段和窃听技巧，并且被灌注了一旦被发现便以身殉国的观念。
31	地主的孩子	[NAME]出生地主家庭，从小四体不勤五谷不分。\n[IT]很小就和家里的丫鬟发生关系，并且乐在其中，这让[IT]本来就孱弱的身体更加虚弱了。
32	卖花童	[NAME]的父母经营有一家花店。在[IT]懂事后就常常提着花篮帮父母卖花。频繁的人际交往让[IT]变得外向而活泼，而且颇有魅力。
33	快乐的童年	[NAME]的父母是一个大户人家的旁系后代。[ITS]父母二人都安于平静，虽然继承家业无望但是也乐的清闲，不愁吃穿。\n因此，[NAME]从小被父母陪伴四处玩耍，度过一个快乐的童年。
34	野孩子	[NAME]出生在一个山村，[ITS]父母在很小的时候就因为狼祸而死亡。\n[IT]从小吃百家饭长大，无人看顾，终日混迹村头山野。因其身世，[IT]从小缺乏朋友，只和村头一只大黑狗相伴。
35	酒童	[NAME]家境贫寒，[IT]也从小被父母打发到镇上的酒馆当酒童补贴家用。\n酒馆中多有醉酒的客人，常常对[IT]苛责打骂，有一次[IT]甚至被一个酒客打断了腿。
36	农民的孩子	[NAME]家以务农为生，[IT]从小被父母带到田里方便照料。因此[IT]也耳濡目染的熟知了种植的技巧和知识。
37	农民的孩子	[NAME]的父亲是地主家的佃户。分有一片田和几只猪。在[IT]七八岁后就跟着父亲到田里劳动，父亲种地，[IT]就去收集野菜草料，以喂养家畜。\n有一次喂猪时，[IT]没有注意，被猪咬掉一个手指。
38	农民的孩子	[NAME]的家庭是地主家的佃仆。[ITS]父亲因劳累过度而垮了身体，无法按时交粮，无奈之下只能把[IT]卖了抵押债务。\n[NAME]的卖家对[IT]很苛责，终日用重活压榨[ITS]幼小的身体。
39	将门虎子	[NAME]祖上三代为将，[IT]从小就经过刻苦的训练和学习，被家庭寄以厚望。\n[ITS]童年有一半时间在军营度过，这让[IT]从骨子里透出钢铁般的气息。
40	军人家庭	[NAME]的母亲早亡，父亲是从征西战场上活下来的百战老兵。战事平定后，[ITS]父亲回军中任教头，[IT]也跟随父亲久居军营。\n在一次镇压邪教的小规模行动中，[IT]跟随父亲见到了一些神奇的法术，虽然只是入门级别的小把戏，却这让[IT]对修行充满好奇。
41	狼孩	[NAME]被一头母狼抚养长大，在[IT]被人从狼窝里发现时已经五岁。与狼为伴的童年让[IT]对人类充满疏离感，甚至花了好几年时间都无法正常说话。
42	落魄贵族	[NAME]家曾经是十里八乡有名的建筑世家。因牵扯前朝余孽作乱事件而被抄家。在发配途中，父亲耐不住折磨而离世。这种生活的巨变让[IT]变得自卑而内向。
43	孤儿	[NAME]是个孤儿，[IT]游走在城市的阴暗角落，以乞讨和偷盗为生。\n常年的流浪生活让[ITS]神经极度敏感，而且无法久睡。
44	弃婴	[NAME]一出生就被遗弃在垃圾堆。被一个拾荒者捡到，勉强养活。\n极度糟糕的卫生条件让[IT]得了一种可怕的病症，这让[ITS]寿命受损严重。
45	山村孩子	[NAME]出生在一个山村，[ITS]父母和村民都是为了躲避战乱而逃难到此。因此，在[NAME]从小接受的教育中，对暴力和战争的排斥占绝对主流。这让[IT]成为一个厌恶武力的人。
46	军队儿童	[NAME]是在战场上被捡到的孤儿。[ITS]养父是军队中的百夫长，[IT]从小便跟随成年人训练，学习都是战场夺命之术。\n训练和杀敌填满[ITS]童年，直到有一天[IT]所在的军队中埋伏而溃败。侥幸活下来的[IT]开始思考自己人生的意义。
47	前朝遗孤	[NAME]在一个四合院长大，每天和周围的孩子一样读书，玩耍，帮大人干活。\n只是所有人都不知道，[ITS]真实身份是前朝的皇子，一直默默等待义军来接[IT]复辟皇朝。
48	幸存者	[NAME]是一场大屠杀的幸存者。当[IT]从尸山血海的城镇苏醒时，眼前的一切成为[IT]一生挥之不去的梦靥。
49	先天不足	[NAME]父母是亲兄妹，因此[IT]出生就患有先天不足之症。这让[IT]天生体弱，且天年难尽。
50	早熟儿童	[NAME]家境丰足，且生的一副好皮囊。从小就颇受异性欢迎的[IT]因此特别早熟，可以游刃有余的把握人和人之间的距离。
51	流浪儿	[NAME]的父亲失手杀死当地恶霸之子，为躲避报复，只得携妻子踏上流亡的道路。\n[NAME]从小的记忆就是饥一顿饱一顿的奔波。
52	小偷	[NAME]为了生存，不得不去做一些偷偷摸摸的事，但是其良心未泯。\n[IT]很少偷穷苦人家，也常常将偷到所得分给比[IT]还小的孩童。
53	小盗贼	[NAME]是一个盗窃团伙的成员。因为[IT]年龄小而且笨手笨脚，经常被团伙的其他成员嫌弃打骂，他们把[IT]留在巢穴负责后勤。\n也正是如此，在某一次朝廷严打中，[IT]侥幸活了下来。
54	马背上的童年	[NAME]是一个游牧部落的孩子。[IT]从小在马背上长大，跟随部落驰骋草原。\n平日里，[IT]负责捡马粪收拾马圈，不过[IT]不喜欢这些工作。[ITS]梦想是成为最强的猎人。
55	童养媳	[NAME]很小时候就被卖给地主家的傻儿子当童养媳。因其生的美貌，又懂事乖巧，深得他人喜爱。\n在地主家的日子，[IT]受到了良好的培训，掌握了不少居家技能。耳濡目染下，也落得谈吐文雅。
56	牧羊孩童	[NAME]出生西海边的一个部落。[IT]和其他几个小伙伴一起为部落放牧羊群。\n牧场旁边有一座废墟，传说其中有鬼怪作祟。[NAME]常常在放羊的过程中开溜，一个人跑去废墟中去探险。
57	战乱遗孤	[NAME]出生在一个边境城市。在[IT]很小的时候，外族入侵，屠了[IT]出生的城市。[IT]侥幸活了下来。\n[IT]从小就立誓，一定要从军征伐异族，报仇雪恨。为此，[IT]以强大的意志完成一项又一项不可能的训练。
58	拾荒儿童	[NAME]在战乱中失去家园。和很多其他孩子一样，以拾荒为生。\n[IT]身材瘦小灵活，常常偷跑到富人区的垃圾堆中挑选珍惜的废品卖钱。这让[IT]早早积累了足够的资产，拜入一个手工店当学徒。
59	佛前童子	[NAME]是寺庙中童子，负责佛前掌灯的工作。长年累月听经颂佛让[IT]充满灵性，隔绝世事的生活让[IT]心无杂念。
60	小道童	[NAME]是道观的童子，[IT]从小跟随师傅过着随日月而生息，观云雨而动静的生活。\n[IT]天资聪颖，深具潜能，在很小的年纪就到达了天人合一的境界，虽然[IT]并不自知。
61	小沙弥	[NAME]是一个寺庙中的小沙弥。[IT]生性好动，又贪口腹之欲，寺庙中清苦的生活让[IT]痛不欲生。\n[IT]三番四次想逃出寺庙，但都被庙里的武僧抓了回去。
62	诗坛神童	[NAME]身负宿慧，生而能言，有过目不忘之才。[IT]三岁作对，五岁成诗，七岁便享誉诗坛，被称为神童。朝野文人无不知其名。
63	顽童	[NAME]小时候特别调皮。是十里八乡有名的惹人精，无论大人小孩提起[IT]都觉得头疼。\n有一次[IT]不服管教，离家出走，在山里迷了路。但[IT]居然没心没肺的和猴子一起生活了半个月才被家里人找到。
64	叛逆的孩子	[NAME]的父亲是个老学究，从小管[IT]管的特别严。这让[IT]内心充满了反抗精神，处处想方设法的惹父亲生气。为此[IT]三天两头就会被打一顿。
65	活泼儿童	[NAME]是个活泼而外向的孩子。[IT]从小就不怕生人，稍微长大一点后更是能说会道。[ITS]伶牙俐齿很多成年人都表示吃不消。\n[NAME]在周围孩子中声望很高，经常带领镇上的孩子上山下河，惹是生非。
66	内向的童年	[NAME]从小内向。除了父母外不敢见其[IT]人。每当有人接近[IT]，[IT]就会特别紧张而无所适从。\n在[IT]第一次上私塾的时候，因为一个异性同学向[IT]搭话，[IT]竟然紧张到当场昏迷。
67	邪术试验品	[NAME]从小被一个邪派散修抓走，被当成修炼邪术的备用材料用妖法封印。\n后来该散修被正派人士诛杀，[IT]才得救。但也因为长时间被妖法封印，[ITS]身体大受损伤。
68	小混混	[NAME]的父亲是当地恶霸。[IT]从懂事起就看着父亲做那些欺压善良的勾当，并以此为乐。\n在[IT]七八岁的时候，[IT]就借着[ITS]父亲的恶名组建了一个恶少盟，经常结伴横行乡里，深得群众的厌恶。
69	通灵儿童	[NAME]生有一双阴阳眼，能看到正常人看不到的东西。然而这个能力让[IT]过早的透支了大量元气。[IT]常常生病，且体质虚弱。\n在[IT]十岁时遇到一个游方郎中，这名郎中施展针灸将[ITS]阴阳眼封印，[ITS]身体才渐渐的健康了起来。
70	讨人喜欢	[NAME]拥有一种与生俱来的天赋，就是感知对方的心灵。这让[IT]可以轻而易举的顺着对方的心思做出最恰当的应对。\n在[IT]很小的时候，[IT]就能熟练的运用这一能力来博得周围人的欢心。
71	佛门传承	[NAME]出生在一个叫草庙村的地方，在[IT]七岁时，全村人被一个恶人所杀。一个路过的老和尚救了[IT]，并传给[IT]一段口诀，嘱咐[IT]每日修炼，不能告诉任何人。
72	折翼天才	[NAME]出生在一个武学世家，本来是绝世习武天才。然而在[IT]十一岁时突患怪病，内力逐渐流失，修炼变得很艰难。与自己指腹为婚的女孩也因此提出悔婚。\n身份的转变让[IT]尝尽冷暖，[IT]发誓一定要重新夺回自己的一切。
73	陪读孩童	[NAME]是一个秀才的陪读童子，然而这名秀才屡次考举人不中，暴躁之余经常对[IT]又打又骂。\n[NAME]不堪受辱，终于下定决心，在一个雨夜偷偷溜走。
74	富人子弟	[NAME]的父母是全国驰名的大商人，生意繁忙，常年外出，只是给[IT]留下大量钱财独自生活。\n[IT]因此从小就过着飞扬跋扈，恣意妄为的生活。
75	游戏王	[NAME]天生聪颖好动，喜欢呼朋引伴的玩乐。在[IT]十岁的时候，无论棋牌灯谜，还是蹴鞠投壶，[IT]都无一不精。斗蟋蟀更是[ITS]独门绝技，[IT]挑选的蟋蟀往往犀利非常，罕有人敌。
76	书呆子	[NAME]的父亲是个秀才，一辈子没有考上举人，全部的希望全压在了[IT]身上，每日督促[NAME]读书习作。\n[IT]从小就与书作伴，两耳不闻窗外事。成了一个手无缚鸡之力，什么都不会的书呆子。
77	弹弓高手	[NAME]小时候特别擅长玩弹弓，经常闹的部落鸡犬不宁。\n在[IT]长大一点后，就负责照看部落中的田地，用弹弓驱赶来偷吃的小型野兽。
78	天生怪病	[NAME]从小有怪病，经脉互不连通，无法修炼。而且经常昏倒。每次昏倒后，[IT]都会发出奇特的香味，等苏醒就好似大病一场，虚弱无比。\n受这个怪病困扰，[NAME]无法干重活。
79	西域儿童	[NAME]出生在一个西域胡人家庭。在十岁那年， [IT]所在的部落被中原征服，[IT]全家也被收编到中原腹地为奴仆。\n因为地位低下，且不懂中原话，[IT]在中原的新生活很吃力，经常被刁难。这也让[IT]更加内向了。
80	皇子	[NAME]是当朝皇子之一。从小深宫中接受严格的教育和勾心斗角的磨练。\n在十几岁的时候，[IT]被大皇子陷害。为了活命[IT]隐姓埋名，假死逃出皇宫。
81	傀儡皇帝	[NAME]三岁的时候就继承了皇位。[ITS]童年基本是懵懂的坐在皇位上，享受别人的吹捧和讨好。被摄政王操纵而不自知。\n在[IT]十三岁那年，摄政王发动政变，[IT]在先帝心腹的掩护下逃得性命…但也永远告别了锦衣玉食的生活。
82	童子军	[NAME]出生乱世，军阀横行四处征兵，连儿童都不放过。[IT]就是这样被一名大军阀强行征召成为童子军。\n[ITS]童年跟随部队四处流窜，主要负责一些后期建设类的工作。后来这名军阀事败，其手下也四散逃命，各奔东西。
83	矿洞孤儿	[NAME]的父母都是矿工，[IT]自小就在矿工屋棚长大。\n再一次矿难中，[ITS]父母不幸丧命。为了生活下去，[IT]小小年纪就被迫扛起了矿镐。
84	小偷	[NAME]的父亲是一个混混，沉迷赌博，以偷盗为生。耳濡目染下，[NAME]也从小染上了不劳而获，好吃懒做的性情，也成了一个小偷。\n[IT]生有一副好皮囊，良好的外表放松了他人的警惕。因此，小小年纪的[IT]可以屡次得手。
85	小偷	[NAME]小时候被拐卖，被一个偷窃团伙胁迫成为小偷。\n在一次偷盗中，[IT]将求救纸条放入了目标的口袋，并成功引起官府注意。偷窃团伙被一网打尽，[IT]也成功脱离苦海。
86	残疾孩童	[NAME]小时候被野猪啃掉了一只耳朵和一个手臂。虽然[IT]侥幸活了下来，但是却落的终身残疾。\n[IT]并不为此气馁，百倍刻苦的训练自己。在十岁时，他认为自己修炼有成，便去山中找野猪报仇。这一次，[IT]被撞断了双腿。[IT]从此一蹶不振。
87	残疾孩童	[NAME]得了一种怪病，[IT]从十岁开始就不再长大了，这让[IT]看上去永远像个孩子。\n这个怪病给[IT]带来了很多麻烦，[IT]无法像成年人那样养活自己，也很难得到[IT]人的认同。
88	哑巴	[NAME]小时候得过一次高烧，烧坏了脑袋。这让[ITS]智力显得有些低下，并且失去了开口讲话的能力。\n[IT]为此郁郁寡欢，终日把自己关在琴棋书画的世界麻醉自己。
89	替死之身	[NAME]本是将军府门房的孩子。在[IT]十岁那年，将军因政治漩涡而被迫害抄家。为了延续血脉，将军让[NAME]李代桃僵，替少爷去死。\n[NAME]不甘心就此死去，[IT]趁乱杀死了少爷，并借着火光逃离将军府。
90	外门童子	[NAME]出生在一个叫五里沟的小镇，小镇附近有一个叫七玄门的小门派。[NAME]从小就被选中当外门弟子。\n虽然[IT]后来被逐出门派，但是几年外门弟子的生涯让[IT]对修行有了初步的了解。
91	药童	[NAME]在一个老郎中手下做事，负责帮老郎中抓药配药打打下手。\n在一次治疗中，[IT]抓错了分量，导致了病人病情加重，差点失去性命。[NAME]因此被老郎中逐出药铺。
92	药罐子	[NAME]是个早产儿童，[IT]先天体弱，经常生病，而且哪怕是小病小痛都纠缠许久，很难治愈。因此，[NAME]的童年几乎是在吃药中度过。
93	雪原少年	[NAME]出生在北部边境的一个村落。那里终年大雪覆盖，村民以凿冰捕鱼，雪原打猎为生。\n[NAME]小小年纪就展露出过人的狩猎天赋。[IT]小时候就经常独自一人在雪原追猎雪兔，雪狐等小型猎物。
94	戈壁流浪儿	[NAME]出生在戈壁的一个城镇。在小时候，一场超级大沙暴吞没了[ITS]故乡。[IT]跟随几个幸存者踏上了流浪的路途。\n在流浪的几年时间里，[IT]见惯了生死和人性，这让[IT]对这个世界失去了希望。
95	水乡孩子	[NAME]出生在一个江南水乡，[ITS]故乡是一个坐落在河上的镇子。房屋之间以水道相连，独具风情。\n[NAME]家开有一家杂货铺。[IT]小时候每天都会划船载着货物绕城一周，帮忙贩售。
96	山中少年	[NAME]是大山的孩子，从小就跟着哥哥在山里翻山越岭，爬树下河。\n[NAME]小时候最喜欢的活动就是下雨后去山里采木耳蘑菇，[IT]每次都比哥哥采的多且好。
97	少年神将	[NAME]是赤焰军的少年将军，年少之时便武功盖世。\n后来赤焰军遭人陷害，全军覆没。[IT]在众将士的保护下逃脱性命，但也不幸身中奇毒。
98	神格之命	[NAME]出生时母亲难产而死，刚一出生，遍体生香，虽是春日，满城鲜花却瞬间凋零，引为不详。\n[NAME]因其体质特殊，特别容易吸引鬼怪。[IT]小时候曾遇到一名高僧，高僧给[IT]一串佛珠和一张黑狗皮斗篷，无论行止坐卧都随身携带以遮蔽气息，[IT]才平安长大。
99	武术世家	[NAME]的父亲本是家族第一高手，然而在一次重要的比武中为了家族牺牲，沦为残废。[IT]将全部的希望倾注在自己的孩子身上。可惜[NAME]天资一般，进步缓慢。\n在一次奇遇下，[NAME]从一潭神秘的池水中得到一块石符，在石符的帮助下，[ITS]修为飞速提高，成为家族的天才。
100	天生神力	[NAME]天生力大无穷，在[IT]8岁时就拥有了不弱于成人的力气，可以挥动铁锤，搬动大石块。\n[IT]并不辜负自己的天赋，反而加倍的练习，这让[ITS]力量远超同龄人。
501	江湖大侠	[NAME]身负武艺，在俗世中当过一段劫富济贫的侠客。在一次决斗中，敌人在[IT]脸上留下一道狭长的刀疤，让[IT]看起来十分凶恶。
502	女侠	[NAME]身负武艺，在俗世中当过一段劫富济贫的侠客。在行侠过程中，[ITS]搭档为了救[IT]而殒命。[IT]也因此心灰意冷，退出江湖。
503	退休镖师	[NAME]是一个镖师，直到[IT]在一次护镖的过程中膝盖中了一箭。
504	地主恶奴	[NAME]是一个地主手下的恶奴。常年的欺软怕硬让[IT]懂得审时度势的重要。\n然而终于有一次，[IT]还是得罪了不该得罪的人，因此[IT]走上了逃亡的道路。
505	屠夫	[NAME]此前是一个屠夫，以屠宰各种牲畜为生。粗重的体力活让[ITS]体格健壮而有力。常年的屠戮让[IT]习惯血腥与死亡。
506	农夫	[NAME]是个农民，对粗活重活得心应手。但贫穷的生活和高强度的工作摧垮了[ITS]身体和心灵。
507	手艺人	[NAME]习得一身手艺，并以此为生。因为工作的需要，[IT]拥有了一双巧手。
508	马贼	[NAME]迫于生计沦为马贼，刀头舔血的生活让[IT]养成及时行乐，凶残冷血的性格。但是这种朝不保夕的生活也让[IT]心生厌倦。在一次官府围剿中，[IT]丢失了一只胳膊，也借此脱离了组织。
509	茶馆伙计	[NAME]一直在一个茶馆当伙计，底层的生活让[IT]熟知讨好他人的方法。耳濡目染下，也让[IT]略懂烹饪。
510	说书人	[NAME]继承了一个说书人的衣钵，[IT]牵着自己的坐骑：一头驴，四处游行，并以说书赚取生存所需的资源。
511	状元	[NAME]在曾经科举中过状元，文化程度相当高。不过[IT]却热爱农事，甚至为此辞官归隐田园。
512	义军领袖	[NAME]曾经是义军的领袖，为了推翻腐朽的国家而奔走奋斗。然而最终，[IT]所在的部队却因内斗而解散。
513	义军成员	[NAME]曾经参加义军，军旅生涯让[IT]体格强壮。革命的信念让[IT]意志坚定。
514	叛党领袖	[NAME]是叛军领袖，[IT]精通指挥，治下残暴而冷酷，率领着手下一边烧杀抢掠，一边与朝廷军队周旋。在一次战役中，[ITS]部队被围剿，[NAME]侥幸留下一条性命。
515	叛党成员	[NAME]因不满高额的赋税而加入叛党。然而叛军烧杀抢掠的行事作风让[IT]忍无可忍。在一个夜里，[IT]杀死同队的几个无恶不作的兵痞后连夜出逃。
516	逃犯	[NAME]是越狱的逃犯，数年的潜逃生涯让[ITS]精神极度敏感和紧张。这让[ITS]情绪反应更剧烈，也让[ITS]反应更敏锐。
517	人屠	[NAME]是一名凶残的刽子手，负责处决死刑犯。手上的无数血腥让[ITS]内心如铁石一般。
518	邪派爪牙	[NAME]是一个邪派在凡间的代理人，负责教派在凡间的生意和联络。虽然[IT]完全没有被传授修炼的方法，但也多多少少的见识了很多灵异。
519	医馆郎中	[NAME]是一家医馆的郎中，虽然[IT]医术并不算高超，但是对付小疾病还是手到擒来。
520	战地郎中	[NAME]是军队中的随行医生，[ITS]医术精湛，并且随军生涯让[IT]拥有军人的意志。
521	游方郎中	[NAME]是一名行走江湖的游方郎中，[IT]热爱医术，以救治伤患为己任。大江南北的游历让[IT]见多识广，也磨砺出了[ITS]一身医术。
522	兽医	[NAME]是一名兽医，虽然也能治人，但[ITS]治疗手法很粗犷而不拘小节。
523	码头挑夫	[NAME]是码头的挑夫，繁重的工作让[ITS]体格健壮，力量很大。但这也透支了[ITS]身体。
524	挑山工	[NAME]是挑山工，繁重的工作让[ITS]体格健壮力量很大。而经常走山路又让[IT]拥有很高的平衡性。但这也透支了[ITS]身体。
525	武馆教习	[NAME]是武馆的教习，[ITS]身手不错，在当地拥有很不错的名声。\n再一次教导中，[IT]失手摸到了有权有势女徒弟的胸部而被驱逐，失去了所有的财产和身份。
526	私塾先生	[NAME]是私塾的先生，[ITS]学问高深，但因性格严肃而且十分传统，因此很不受学生的喜爱。在一次科举考试中，[IT]抓到一名贵族舞弊。随后便遭到了报复，被打断了一条腿。
527	山地猎人	[NAME]是一名山区的猎人，[ITS]身手矫健，善于利用陷阱狩猎动物。[IT]有一条忠心的猎犬搭档。
528	冰原猎人	[NAME]是一名冰原的猎人。[IT]体格非常健壮，能在冰天雪地中赤膊奔跑而不觉寒冷。
529	游牧猎人	[NAME]是一名草原的游牧猎人，常年露宿荒野让[IT]无法进入深度睡眠。
530	御用猎人	[NAME]是一名皇室的御用猎人，负责教导皇室子弟狩猎的技巧。[ITS]技术超群，善于交际，但皇室的生活也让[IT]对穿着食物有着强烈的需求。
531	媒婆	[NAME]能说会道，最喜欢参合街坊之间的八卦杂事。[IT]热衷于给适龄的年轻人牵线搭桥，是十里八乡有名的媒人。
532	幕僚	[NAME]是一名随军幕僚，[IT]虽然称不上足智多谋，但谨小慎微的性格也让[IT]屡次识破敌人的埋伏和计策。这让[IT]略有一些自得。
533	捕快	[NAME]是一名捕快，负责抓捕罪犯。在多年的捕快生涯中，[IT]得罪了很多仇家，也落下一身的伤病。
534	相命	[NAME]混迹市井，以给人算命为生。[IT]并没有什么真功夫，只是凭着一张嘴信口开河。只是多年的市井经历让[IT]目光锐利，往往可以把情况说个八九不离十。
535	丹青	[NAME]是个笔墨匠人，擅长绘景绘人。[IT]在老家经营有一间书画铺子，以给乡亲们丧葬嫁娶画些字画为生。
536	伙头兵	[NAME]是一名随军厨师。[IT]习惯大锅做饭，做出来的东西味道不太能指望，但是速度惊人，可以很快的做完大量的饭菜。
537	马夫	[NAME]在一个马场中某生活。[IT]负责每日给几百匹马剁草，喂食。\n日复一日的重复生活让[IT]倍感乏味，[IT]经常一边喂马一边幻想那些志怪小说中的神奇故事。
538	放牧人	[NAME]是一个草原部落的成员。[IT]天生一副好视力，因此被安排为部落的放牧人。\n每日的放牧任务十分繁重，除了防止畜生走失，还要防备进犯的野兽。这让[NAME]身手变得十分矫捷。
539	弄潮儿	[NAME]是一名弄潮儿，每年潮汛来临，[IT]就会施展自己的技巧在潮头争锋，以此取悦达官显贵。而在其他时间，[IT]就必须刻苦锻炼，维持自己的状态，以免在来年潮汛时失宠，甚至丢掉性命。
540	风水师	[NAME]是一名风水大师，[IT]名满天下，给无数达官贵人选过阴宅阳宅。甚至当朝皇族都曾聘请[IT]为顾问。
541	神厨	[NAME]是一家名满天下的餐馆的大厨。[ITS]厨艺高超，传说曾在梦中被仙人带到仙界烹饪美食。
542	工头	[NAME]是朝廷在地方上的一名工监，[IT]很有能力，被委任给皇帝修建一座奢华的行宫。但其为人苛刻，经常对工人施以酷刑，甚至弄出过不少人命。
543	建筑家	[NAME]年轻时就成名的著名建筑家，师从天下有名的建筑大师学习建筑之术。\n在[IT]学艺的过程中，就曾经亲手负责一座王府园林的设计与建筑，从此名动天下。
544	杂技者	[NAME]是一名杂耍人，[IT]和自己的伙伴在各地游荡演出，表演一些奇巧的技艺谋生。多年的演艺生涯让[IT]拥有超出常人的专注力，[IT]可以在漫天喝彩中毫不分心，并进行惊险的动作表演。
545	舞蛇人	[NAME]祖上传下了高超的舞蛇技艺，[IT]从小养了一只剧毒的青蛇，并能与之进行亲密的交流。[IT]靠着这份技巧谋生，甚至躲过了一次同行间的仇杀。
546	耍猴人	[NAME]是个耍猴艺人，[IT]从小苦练家传的一套打猴鞭绝迹，身手灵活，武艺超群。\n在一次表演中，[ITS]猴子得罪了一个地痞。为了救猴子而被地痞叫人围攻，瞎了一只眼睛。
547	客栈老板	[NAME]在边疆经营有一家客栈，因地处要道，所以生意尚可。只是来往人多且杂，总会发生一些闹事砸场的情况。\n为了应付这些状况，[NAME]雇佣了很多打手，自己也尽可能的学了一些拳脚防身。
548	俗家信徒	[NAME]过着十分贫穷的生活，这让[IT]终日沉浸在痛苦中。为了在痛苦中找到一丝心灵依托，[NAME]成为了一名俗家信徒，彻底皈依了自己的内心，并从中找到了平静。
549	乞丐	[NAME]本是一名建筑师，有一个美满的家庭，也稍有积蓄。但是一次偶然的经历让[IT]迷上了赌博，这让[IT]倾家荡产，妻离子散，最后沦为了乞丐。
550	浪子	[NAME]家学渊源，是书香之后。可是[IT]却厌倦家里给[IT]安排的考取功名的人生轨迹。为此[IT]偷偷练习武艺，离家出走，成为了一名游历于士林和江湖之间的浪子。
551	清倌人	[NAME]本是将军之女，因其父卷入叛党纷争而家破人亡，流落风尘。\n[IT]因才色俱佳而得以成为一名清倌人，不必委身待客。但是朝不保夕的生活让[IT]倍感绝望。
